-37.8 -0
-37.6 0.00013832
-37.4 4.2157e-05
-37.2 -0.0002915
-37 -0.00054084
-36.8 8.5407e-05
-36.6 -7.8237e-05
-36.4 -0.0010392
-36.2 -0.0013692
-36 -0.0020059
-35.8 -0.002587
-35.6 -0.0019617
-35.4 -0.0012685
-35.2 -0.0012669
-35 -0.0014562
-34.8 -0.0014561
-34.6 -0.00090624
-34.4 -0.00094904
-34.2 -0.0020662
-34 -0.0023537
-33.8 -0.0023891
-33.6 -0.0028014
-33.4 -0.0025131
-33.2 -0.002036
-33 -0.0016253
-32.8 -0.0012815
-32.6 -0.001001
-32.4 -0.001789
-32.2 -0.0022473
-32 -0.0025371
-31.8 -0.0023306
-31.6 -0.0025007
-31.4 -0.0028121
-31.2 -0.0033097
-31 -0.0034959
-30.8 -0.0033683
-30.6 -0.0027489
-30.4 -0.0025051
-30.2 -0.0016465
-30 -0.0012247
-29.8 -0.00077157
-29.6 -0.00064829
-29.4 -0.00088723
-29.2 -0.0016099
-29 -0.0021335
-28.8 -0.0018324
-28.6 -0.0014838
-28.4 -0.00062007
-28.2 0.00048488
-28 0.0015075
-27.8 0.0015473
-27.6 0.0019578
-27.4 0.0024901
-27.2 0.0029167
-27 0.0031659
-26.8 0.0036191
-26.6 0.0045595
-26.4 0.004879
-26.2 0.005032
-26 0.0056115
-25.8 0.0060881
-25.6 0.0062171
-25.4 0.0070156
-25.2 0.007986
-25 0.0083706
-24.8 0.0089102
-24.6 0.010042
-24.4 0.011795
-24.2 0.012269
-24 0.012072
-23.8 0.011572
-23.6 0.01151
-23.4 0.01205
-23.2 0.013105
-23 0.013934
-22.8 0.015397
-22.6 0.016781
-22.4 0.017829
-22.2 0.019656
-22 0.021361
-21.8 0.023361
-21.6 0.026219
-21.4 0.029942
-21.2 0.035528
-21 0.041257
-20.8 0.047156
-20.6 0.052431
-20.4 0.058295
-20.2 0.06518
-20 0.071964
-19.8 0.078576
-19.6 0.085584
-19.4 0.093269
-19.2 0.10234
-19 0.11208
-18.8 0.12235
-18.6 0.13437
-18.4 0.14697
-18.2 0.15997
-18 0.17255
-17.8 0.18555
-17.6 0.19813
-17.4 0.21172
-17.2 0.22593
-17 0.2405
-16.8 0.25521
-16.6 0.26987
-16.4 0.28453
-16.2 0.29956
-16 0.31388
-15.8 0.32808
-15.6 0.3422
-15.4 0.35491
-15.2 0.36685
-15 0.37848
-14.8 0.38951
-14.6 0.39971
-14.4 0.40916
-14.2 0.41772
-14 0.42552
-13.8 0.43212
