distance,100nm_img1.tiff,110nm_img1.tiff,120nm_img1.tiff,30nm_img1.tiff,40nm_img1.tiff,50nm_img1.tiff,60nm_img1.tiff,70nm_img1.tiff,80nm_img1.tiff,90nm_img1.tiff
-75.0,-5.361284255981445,-18.23457908630371,-12.180502891540527,13.172992706298828,-6.251643180847168,-3.869626998901367,1.5145492553710938,-10.635116577148438,-4.786221504211426,-22.282962799072266
-74.0,-5.361284255981445,-18.23457908630371,-12.180502891540527,13.172992706298828,-6.251643180847168,-3.869626998901367,1.5145492553710938,-10.635116577148438,-4.786221504211426,-22.282962799072266
-73.0,-5.361284255981445,-18.23457908630371,-12.180502891540527,13.172992706298828,-6.251643180847168,-3.869626998901367,1.5145492553710938,-10.635116577148438,-4.786221504211426,-22.282962799072266
-72.0,-5.3612842559811895,-18.23457908630371,-12.180502891540527,13.172992706298828,-6.251643180847168,-3.869626998901367,1.5145492553710938,-10.635116577148438,-4.786221504211426,-22.282962799069782
-71.0,-5.236108779906981,-18.23457908630269,-12.180502891539271,12.060287475585953,-6.25164318084695,-4.488069534301354,1.5145492553710938,-9.883134841919437,-4.786221504211426,-21.06967735290084
-70.0,-5.114452362060663,-17.72898674011052,-11.558056831357955,10.066101074218778,-5.911278724670007,-5.543533325194593,1.3986415863037915,-8.491992950440402,-5.3068866729732775,-18.87171745299741
-69.0,-5.172794342041704,-16.832101821897265,-10.599253654478295,7.568544387817418,-5.295052528380885,-6.725305557250221,1.10179710388203,-6.6958198547374765,-6.322059631346935,-16.096260070795175
-68.0,-5.523971557618386,-15.735949516294278,-9.739933967589607,4.985712051391639,-4.554499626159268,-7.680360794066745,0.5664272308353261,-4.8337707519543684,-7.746423721312525,-13.237842559809653
-67.0,-6.144023895265079,-14.645300865171572,-9.364627838135279,2.701879501342806,-3.930058479308925,-8.118144989013398,-0.18193244934035235,-3.2820987701425715,-9.404285430907048,-10.753946304317846
-66.0,-6.8826637268078885,-13.717045783995266,-9.634246826173372,1.0364093780517816,-3.6731214523317077,-7.916147232055796,-1.0266075134271824,-2.3474149703985603,-11.039051055907134,-8.946199417112263
-65.0,-7.547918319703004,-13.015345573424334,-10.432791709901787,0.24332046508790195,-3.942719459534149,-7.199895858765076,-1.8316764831538048,-2.155128479004021,-12.379766464232484,-7.882374763487883
-64.0,-8.010971069336392,-12.495890617369758,-11.453285217286798,0.4871292114257778,-4.72807979583808,-6.333293914795464,-2.5201473236079632,-2.6059799194333118,-13.236055374144973,-7.402545928954753
-63.0,-8.26055145263695,-12.030158996581033,-12.355642318726598,1.7817401885986144,-5.8640661239631156,-5.796545028686836,-3.101938247680321,-3.4188728332514797,-13.560964584350373,-7.223684310912843
-62.0,-8.389141082763906,-11.472698211668643,-12.920706748962754,3.925163269042938,-7.119492530823433,-5.973279953002821,-3.630800247192056,-4.248545646666973,-13.45012283325202,-7.088014602660772
